VehicleType,Model,ModelYear,PricePerKM,LoginPrice
Bicycle,able668,2019,7.48,133.28
Bicycle,across985,2012,4.42,419.5
Bicycle,affect205,2015,7.46,434.04
Bicycle,air341,2021,3.63,496.49
Bicycle,already175,2018,6.6,246.74
Bicycle,anyone997,2023,6.48,263.66
Bicycle,argue857,2023,3.46,314.85
Bicycle,art789,2020,5.17,332.85
Bicycle,attack869,2018,6.19,138.81
Bicycle,ball282,2016,1.41,75.92
Bicycle,because502,2010,9.34,253.69
Bicycle,bit862,2010,3.84,496.84
Bicycle,black461,2012,5.01,319.69
Bicycle,bload438,2015,1.13,198.77
Bicycle,board485,2016,3.29,122.28
Bicycle,both565,2024,8.14,340.84
Bicycle,boy521,2023,2.2,136.22
Bicycle,bring400,2018,3.97,433.39
Bicycle,budget626,2018,6.45,146.13
Bicycle,build432,2024,1.35,138.73
Bicycle,by498,2018,5.35,378.72
Bicycle,campaign681,2014,8.26,251.78
Bicycle,cell541,2024,6.7,145.8
Bicycle,charge978,2013,9.59,276.78
Bicycle,choose351,2024,4.36,451.27
Bicycle,citizen320,2017,6.21,139.09
Bicycle,concern588,2024,1.14,257.52
Bicycle,continue143,2023,7.93,130.87
Bicycle,control593,2013,9.41,203.37
Bicycle,course154,2024,3.44,342.3
Bicycle,court168,2011,6,419
Bicycle,court705,2021,7.42,362.71
Bicycle,culture544,2018,5.55,459.13
Bicycle,dark711,2011,9.14,145.37
Bicycle,daughter253,2019,6.54,209.6
Bicycle,decade755,2023,6.54,308.37
Bicycle,defense776,2019,2.76,297.97
Bicycle,develop248,2020,3.24,294.75
Bicycle,discuss378,2016,9.21,483.69
Bicycle,doctor366,2023,9.98,146.6
Bicycle,down542,2021,3.83,357.48
Bicycle,drug756,2021,2.75,481.88
Bicycle,east242,2016,3.78,177.34
Bicycle,easy615,2016,3.2,380.79
Bicycle,easy651,2014,5.54,272.09
Bicycle,eat356,2023,5.65,193.98
Bicycle,economic767,2021,3.15,408.18
Bicycle,effect321,2016,5.89,131.54
Bicycle,eight904,2013,6.47,429.61
Bicycle,election652,2010,6.58,218.22
Bicycle,environment918,2019,7.09,273.53
Bicycle,every622,2020,3.19,145.93
Bicycle,everybody737,2012,0.85,494.92
Bicycle,fine171,2018,2.82,102.84
Bicycle,form808,2022,2.98,72.65
Bicycle,game882,2020,3.52,78.62
Bicycle,generation834,2020,0.58,197.33
Bicycle,government292,2023,3.71,416.51
Bike,ground556,2022,6.27,281.88
Bike,group442,2019,3.1,152.66
Bike,group459,2017,3.01,224.28
Bike,half517,2012,8.84,238.19
Bike,hear709,2013,2.86,407.54
Bike,heart580,2012,3.51,77.92
Bike,herself131,2022,1.11,175.46
Bike,himself386,2011,3.38,67.28
Bike,hot339,2024,1.74,398.79
Bike,human582,2015,9.62,440.44
Bike,important278,2020,6.65,343.06
Bike,industry317,2015,8,66.56
Bike,industry781,2014,1.53,413.75
Bike,industry808,2011,7.78,362.89
Bike,information808,2020,2.64,264.67
Bike,inside924,2013,2.43,177.81
Bike,interview220,2013,0.83,236.71
Bike,land825,2012,4.37,322.92
Bike,late274,2015,8.6,116.23
Bike,laugh199,2020,8.36,153.17
Bike,law117,2012,4.82,284.24
Bike,local516,2024,2.66,354.01
Bike,lose268,2011,2.87,53.21
Bike,main531,2010,5.88,92.1
Bike,main889,2010,0.81,410.82
Bike,major616,2017,8.78,201.04
Bike,management684,2012,9.85,423.75
Bike,material103,2015,3.61,113.69
Bike,medical150,2019,2.77,325.69
Bike,meet406,2023,5.91,400.45
Bike,meeting760,2016,0.65,220.56
Bike,message730,2016,6.51,51.9
Bike,method877,2013,9.1,89.87
Bike,method935,2016,4.79,75.5
Bike,middle530,2020,2.5,152.16
Bike,might296,2016,4.68,304.06
Bike,mission216,2022,3.28,383.39
Bike,morning188,2016,3.17,168.47
Bike,morning281,2016,5.37,330.38
Bike,most211,2012,7.78,90.99
Bike,nation734,2010,1.88,293.28
Bike,new216,2024,9.91,132.36
Bike,nice365,2023,1.35,468.68
Bike,nothing156,2024,4.24,266.86
Bike,off105,2023,2.15,221.4
Bike,old687,2018,2.06,364.86
Bike,onto719,2012,6.33,242.71
Bike,open947,2012,2.64,431.07
Bike,operation269,2023,0.67,91.77
Bike,others323,2016,3.65,480.05
Bike,out797,2015,9.38,135.02
Bike,paper852,2014,7.7,379.58
Bike,particularly341,2015,2.92,66.2
Bike,party933,2023,7.39,136.16
Bike,peace145,2021,4.36,79.63
Bike,peace913,2012,2.73,115.98
Bike,piece542,2018,5.94,380.39
Bike,play151,2022,7.03,457.95
Bike,population327,2020,1.04,476.88
Bike,prevent494,2017,3.01,338.42
Bike,probably374,2024,9.01,483.89
Bike,probably583,2022,7.84,193.08
Bike,property795,2010,4.17,220.13
Bike,provide514,2017,7.14,355.17
Bike,purpose417,2014,6.13,158.33
Bike,rate749,2015,9.07,306.9
Bike,realize232,2019,4.92,241.03
Car,receive117,2020,5.38,364.57
Car,recently555,2023,5.51,335.75
Car,recently892,2022,6.81,65.77
Car,reduce598,2017,0.93,240.23
Car,relate578,2018,6.24,158.58
Car,Republican575,2010,6.93,280.78
Car,research189,2024,8.87,193.83
Car,response351,2014,2.82,146.51
Car,reveal311,2019,1.67,477.26
Car,rock127,2016,2.44,219.05
Car,rock718,2019,4.61,63.41
Car,seat130,2012,0.81,104.34
Car,sell214,2019,1.76,338.37
Car,series705,2014,4.8,308.35
Car,set719,2010,8.35,255.83
Car,several123,2024,1.7,112.2
Car,several464,2019,6.22,475.6
Car,side812,2010,8.73,221.48
Car,single245,2014,4.86,292.24
Car,sister161,2013,8.71,171.29
Car,size977,2019,5.95,291.59
Car,small592,2021,7.83,469.47
Car,so711,2016,3.93,65.8
Car,some938,2010,1.12,150.87
Car,someone179,2018,1.51,228.73
Car,something123,2021,5.77,292.94
Car,sometimes970,2018,1.49,414.46
Car,sort931,2011,3.99,79.91
Car,specific544,2012,9.59,156.23
Car,spend345,2011,8.72,92.47
Car,sport325,2015,5.52,329.2
Car,standard800,2022,2.46,377.42
Car,star370,2014,1.72,143.25
Car,state345,2010,1.04,346.83
Car,still338,2012,3.28,340.12
Car,style264,2021,8.53,418.73
Car,success670,2015,7.12,435.22
Car,such610,2017,1.37,279.21
Car,teach269,2023,8.22,152.03
Car,teach624,2017,4.02,103.77
Car,than685,2024,3.99,434.86
Car,thank397,2010,8.8,106.21
Car,that455,2014,9.88,386.14
Car,theory659,2019,5.52,386.73
Car,thing952,2012,7.72,56.3
Car,those754,2014,3.03,298.38
Car,though502,2016,6.91,204.06
Car,throw562,2018,2.32,78.06
Car,tonight642,2010,6.72,133.87
Car,total312,2012,8.62,391.3
Car,town838,2011,8.08,150.61
Car,treatment984,2022,8.84,329.65
Car,trip382,2012,3.82,280.18
Car,try871,2010,2.35,65.87
Car,under336,2010,5.08,103.89
Car,until491,2019,8.24,215.65
Car,until703,2018,5.29,181.86
Car,various863,2015,4.47,159.01
Car,visit155,2017,8.63,91.61
Car,visit419,2018,4.35,288.37
Car,war143,2021,7.93,459.32
Car,way160,2010,8.03,301.08
Car,wear591,2022,5.36,131.02
Car,where592,2011,9.18,463.12
Car,while940,2019,7.38,76.19
Car,whom371,2024,5.95,315.87
Car,why108,2022,6.86,468.77
Car,world750,2018,5.63,406.27
Car,write753,2021,0.88,484.34
Car,writer502,2016,9.26,498.36
Car,yard386,2024,6.13,391.51
Car,you668,2018,7.64,293.82
Car,young580,2024,3.17,103.68
Car,would141,2015,2.42,400.74
Car,blood438,2022,5.81,333.5
